Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production
1,1,0.2119460500963391,0.530506101220244,0.334664536741214,0.5415384615384615,0.3195906528044846,0.3690036900369004,0.6047577092511014,0.0768341998844598
1,1,0.0,0.0,0.0,0.3538461538461538,0.7060913209268976,0.1638376383763837,0.0,0.6449066050452532
1,5,0.4306358381502891,0.7073414682936587,0.6972843450479232,0.3476923076923077,0.4922921487468631,0.5874538745387453,0.654625550660793,0.3277488927402272
1,1,0.0,0.0,0.0,0.4707692307692308,0.8635074797118926,0.2088560885608856,0.0,0.365684575389948
1,5,0.0,0.0,0.0,0.3876923076923077,0.8523938337189977,0.3166051660516605,0.0003524229074889,0.1490467937608318
1,1,0.0,0.0,0.0,0.3723076923076923,0.7846038522960596,0.4494464944649446,0.0012334801762114,0.0550741382630464
1,4,0.0,0.0,0.0,0.2369230769230769,0.6768894827754782,0.3372693726937269,0.0,0.0903138840747159
1,1,0.0,0.0,0.0,0.3876923076923077,0.8545122706384644,0.1881918819188192,0.0,0.2736375890621991
1,3,0.0,0.0,0.0,0.6246153846153846,0.8544144966267967,0.3461254612546125,0.0004405286343612,0.6268053148469094
2,5,0.2095375722543352,0.7633526705341068,0.4347044728434504,0.2953846153846154,0.4860997946745754,0.7040590405904058,0.3477533039647577,0.676102445599846
1,4,0.0,0.0,0.0,0.123076923076923,0.8542515399406837,0.3188191881918819,0.0,0.4076641632967456
2,1,0.7822736030828518,0.4214842968593718,0.7186501597444088,0.4338461538461538,0.4138448000521462,0.8199261992619925,0.9086343612334804,0.5054881571346043
1,5,0.0,0.0,0.0,0.3907692307692308,0.854316722615129,0.1771217712177121,0.0005286343612334,0.758521086077412
1,5,0.0,0.0,0.0,0.2461538461538461,0.6856565524883488,0.4568265682656826,0.0,0.1018678990949354
2,1,0.0,0.0,0.0,0.04,0.744907603558974,0.5940959409594095,0.0122466960352422,0.4043905257076834
1,5,0.1820809248554913,0.75375075015003,0.3684105431309904,0.3353846153846154,0.4245673499983704,0.5232472324723247,0.2950660792951542,0.1596379741960331
1,3,0.0,0.0,0.0,0.12,0.88430075285989,0.4169741697416974,0.0048458149779735,0.0510302330059695
1,6,0.0,0.0,0.0,0.2584615384615384,0.6581168725352801,0.3505535055350554,0.0116299559471365,0.2778740612362795
2,2,0.0,0.0,0.0,0.4830769230769231,0.7250920705276537,0.6,0.0004405286343612,0.4494511842865395
1,4,0.0,0.0,0.0,0.2861538461538462,0.9236384968875274,0.3210332103321033,0.0,0.4459849797804737
1,1,0.0,0.0,0.0,0.0369230769230769,0.735749437799433,0.447970479704797,0.0021145374449339,0.0941652224147891
2,4,0.1141618497109826,0.1844368873774755,0.073682108626198,0.3046153846153847,0.6832122021966561,0.5239852398523985,0.427136563876652,0.6680146350856923
1,5,0.0,0.0,0.0,0.2523076923076923,0.7013981683668481,0.4029520295202952,0.0,0.1161178509532062
